epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3381.47,1.12561,0.59807,1.01259,0.78856,0.66729,0.76578,0.48572,1.61831,0.92242,1.24335,0.000197532,0.000197532,0.000197532
109,3412.51,1.09693,0.57087,0.98751,0.75799,0.70319,0.77253,0.49473,1.5985,0.92108,1.2315,0.000189475,0.000189475,0.000189475
110,3443.97,1.0936,0.58342,0.99922,0.77369,0.69229,0.77092,0.48888,1.59791,0.90383,1.23421,0.000181557,0.000181557,0.000181557
111,3475.04,1.08325,0.56441,0.99611,0.77889,0.70845,0.77825,0.48614,1.61376,0.90775,1.24726,0.00017378,0.00017378,0.00017378
112,3506.33,1.11129,0.5926,1.00397,0.82678,0.64216,0.76311,0.49596,1.57657,0.96835,1.23644,0.000166149,0.000166149,0.000166149
113,3537.33,1.0686,0.56076,0.99069,0.78112,0.69348,0.77501,0.50075,1.57469,0.90846,1.229,0.000158667,0.000158667,0.000158667
114,3567.76,1.04406,0.53695,0.97131,0.76968,0.67672,0.7606,0.49364,1.57662,0.97724,1.23724,0.000151336,0.000151336,0.000151336
115,3598.78,1.06539,0.54807,0.98102,0.78473,0.6491,0.75187,0.48916,1.58009,0.9911,1.23031,0.000144161,0.000144161,0.000144161
116,3629.47,1.06975,0.56331,0.98435,0.78498,0.68861,0.76836,0.48494,1.62021,0.94727,1.24405,0.000137143,0.000137143,0.000137143
117,3659.96,1.05833,0.55103,0.99107,0.79947,0.67459,0.75796,0.49061,1.58626,0.95932,1.23654,0.000130287,0.000130287,0.000130287
118,3690.44,1.05625,0.54843,0.97443,0.75753,0.69764,0.75908,0.49056,1.59548,0.96259,1.2455,0.000123596,0.000123596,0.000123596
119,3721.67,1.05411,0.55618,0.97907,0.78027,0.69445,0.76447,0.4827,1.63459,0.93835,1.24984,0.000117072,0.000117072,0.000117072
120,3752.64,1.07747,0.55967,0.99014,0.77189,0.70401,0.77007,0.4912,1.59809,0.93418,1.24111,0.000110718,0.000110718,0.000110718
121,3783.43,1.05034,0.54158,0.97798,0.79779,0.68516,0.76924,0.49437,1.59163,0.93002,1.23629,0.000104537,0.000104537,0.000104537
122,3815.57,1.0779,0.55255,0.97638,0.7772,0.69903,0.77132,0.49071,1.58602,0.9314,1.23602,9.85311e-05,9.85311e-05,9.85311e-05
123,3846.83,1.01777,0.52822,0.96525,0.7858,0.69071,0.76698,0.491,1.57651,0.92577,1.23587,9.2704e-05,9.2704e-05,9.2704e-05
124,3877.4,1.03821,0.53955,0.97552,0.767,0.70596,0.7693,0.49257,1.60139,0.91271,1.24587,8.70577e-05,8.70577e-05,8.70577e-05
125,3908.66,1.05431,0.55152,0.97861,0.80017,0.69978,0.7723,0.49208,1.60952,0.90493,1.25138,8.15947e-05,8.15947e-05,8.15947e-05
126,3939.29,1.04065,0.53678,0.9764,0.81383,0.673,0.76797,0.49725,1.58946,0.92569,1.24029,7.63174e-05,7.63174e-05,7.63174e-05
127,3969.98,1.0178,0.53349,0.97917,0.75965,0.71453,0.77694,0.49892,1.57296,0.9003,1.2358,7.12282e-05,7.12282e-05,7.12282e-05
128,4000.45,1.03359,0.53841,0.97648,0.7963,0.7018,0.77557,0.4984,1.58258,0.89255,1.2308,6.63292e-05,6.63292e-05,6.63292e-05
129,4030.89,1.03403,0.54038,0.98444,0.79866,0.69209,0.77563,0.49828,1.57107,0.91058,1.23537,6.16227e-05,6.16227e-05,6.16227e-05
130,4061.37,1.05614,0.55096,0.99262,0.77684,0.70319,0.77326,0.49344,1.59454,0.91858,1.23916,5.71106e-05,5.71106e-05,5.71106e-05
131,4092.46,1.00994,0.53093,0.97346,0.77663,0.69925,0.77126,0.49928,1.56556,0.91586,1.22496,5.2795e-05,5.2795e-05,5.2795e-05
132,4123.59,1.02032,0.53495,0.96973,0.78573,0.69171,0.76977,0.49867,1.56329,0.93763,1.22252,4.86777e-05,4.86777e-05,4.86777e-05
133,4154.26,1.01283,0.53086,0.97318,0.76611,0.69626,0.76665,0.4989,1.56362,0.94913,1.22198,4.47606e-05,4.47606e-05,4.47606e-05
134,4185.46,0.98793,0.52326,0.96706,0.76241,0.70319,0.76648,0.49939,1.56198,0.94678,1.22373,4.10454e-05,4.10454e-05,4.10454e-05
135,4216.28,1.01607,0.52123,0.96339,0.80608,0.67454,0.76937,0.5001,1.56522,0.92541,1.22807,3.75337e-05,3.75337e-05,3.75337e-05
136,4248.76,1.11196,0.55593,1.00467,0.78504,0.71012,0.77369,0.49807,1.57755,0.91131,1.24356,3.4227e-05,3.4227e-05,3.4227e-05
137,4279.39,1.11207,0.55013,1.00915,0.77524,0.7129,0.77386,0.49421,1.57992,0.90604,1.24533,3.11268e-05,3.11268e-05,3.11268e-05
138,4309.58,1.08631,0.53752,0.99004,0.77466,0.71998,0.77627,0.49716,1.56678,0.88323,1.23797,2.82345e-05,2.82345e-05,2.82345e-05
139,4339.81,1.10311,0.54157,1.00392,0.77582,0.71567,0.77708,0.49944,1.56646,0.87029,1.23287,2.55513e-05,2.55513e-05,2.55513e-05
140,4370.16,1.09283,0.53556,0.99713,0.80679,0.69348,0.77346,0.49854,1.56108,0.87954,1.22545,2.30784e-05,2.30784e-05,2.30784e-05
141,4400.39,1.09677,0.54578,1.00029,0.77549,0.7018,0.76665,0.49637,1.55616,0.88981,1.22339,2.08169e-05,2.08169e-05,2.08169e-05
142,4430.82,1.07769,0.53069,0.99362,0.76736,0.71825,0.77247,0.49306,1.56113,0.88219,1.22345,1.87678e-05,1.87678e-05,1.87678e-05
143,4460.96,1.08739,0.5345,0.99231,0.75606,0.73509,0.77755,0.49893,1.56169,0.88009,1.2224,1.6932e-05,1.6932e-05,1.6932e-05
144,4490.93,1.07406,0.52857,0.97963,0.76012,0.72954,0.77552,0.49688,1.56419,0.8864,1.21987,1.53102e-05,1.53102e-05,1.53102e-05
145,4521.2,1.06524,0.52326,0.9847,0.75867,0.72816,0.77585,0.49868,1.5642,0.88344,1.22087,1.39032e-05,1.39032e-05,1.39032e-05
