epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1613.57,1.25687,0.69462,1.03466,0.73229,0.71706,0.76591,0.48028,1.61302,0.8941,1.20131,0.000294239,0.000294239,0.000294239
98,1629.84,1.24994,0.66978,1.02769,0.7883,0.69721,0.77931,0.48466,1.62594,0.89794,1.20753,0.000284906,0.000284906,0.000284906
99,1646.13,1.25047,0.67348,1.02405,0.78516,0.69348,0.77517,0.476,1.65171,0.91432,1.2159,0.000275668,0.000275668,0.000275668
100,1662.31,1.25319,0.65854,1.02037,0.76259,0.72538,0.78089,0.47906,1.62812,0.88106,1.19782,0.000266532,0.000266532,0.000266532
101,1678.38,1.24651,0.66398,1.0197,0.78172,0.67961,0.76517,0.47761,1.6131,0.89539,1.20152,0.0002575,0.0002575,0.0002575
102,1694.59,1.24404,0.66663,1.026,0.78685,0.69118,0.76598,0.48332,1.59494,0.90121,1.18199,0.000248577,0.000248577,0.000248577
103,1710.81,1.24529,0.65818,1.02037,0.8109,0.68399,0.77713,0.48311,1.61876,0.88636,1.19023,0.000239766,0.000239766,0.000239766
104,1727.14,1.24482,0.66785,1.01854,0.76543,0.69764,0.77364,0.45864,1.69222,0.91667,1.22412,0.000231071,0.000231071,0.000231071
105,1743.31,1.19929,0.64508,1.0089,0.76654,0.71497,0.77811,0.48746,1.59159,0.87002,1.19218,0.000222497,0.000222497,0.000222497
106,1759.8,1.19624,0.63519,1.00433,0.78771,0.70319,0.77964,0.4778,1.64816,0.90903,1.20367,0.000214046,0.000214046,0.000214046
107,1776.45,1.20226,0.63129,1.00298,0.76924,0.70319,0.77592,0.48701,1.57941,0.89987,1.18651,0.000205723,0.000205723,0.000205723
108,1793.55,1.21784,0.65876,1.01793,0.75819,0.70449,0.77213,0.47742,1.63131,0.90558,1.1988,0.000197532,0.000197532,0.000197532
109,1809.94,1.19727,0.63262,0.99955,0.75893,0.69903,0.76657,0.48068,1.60964,0.91287,1.19289,0.000189475,0.000189475,0.000189475
110,1826.6,1.20216,0.64594,1.01175,0.77804,0.70042,0.78222,0.4867,1.61123,0.8855,1.19192,0.000181557,0.000181557,0.000181557
111,1842.85,1.19288,0.62893,1.00677,0.76221,0.69764,0.76684,0.4729,1.63908,0.89946,1.20447,0.00017378,0.00017378,0.00017378
112,1859.29,1.22967,0.65687,1.01992,0.77559,0.70596,0.77641,0.48618,1.61134,0.88966,1.20484,0.000166149,0.000166149,0.000166149
113,1875.47,1.1806,0.62397,0.99988,0.75631,0.69903,0.76441,0.48388,1.61916,0.91749,1.20258,0.000158667,0.000158667,0.000158667
114,1891.57,1.15444,0.60068,0.98356,0.73571,0.71429,0.76522,0.48109,1.61401,0.93913,1.1973,0.000151336,0.000151336,0.000151336
115,1907.86,1.17006,0.60934,0.99053,0.75864,0.70596,0.76474,0.48904,1.60212,0.92173,1.19721,0.000144161,0.000144161,0.000144161
116,1924.34,1.18224,0.6296,0.99644,0.76454,0.70255,0.77721,0.48362,1.61645,0.89292,1.19725,0.000137143,0.000137143,0.000137143
117,1940.6,1.16836,0.61863,1.00129,0.77758,0.69764,0.76932,0.4854,1.62075,0.89827,1.20118,0.000130287,0.000130287,0.000130287
118,1957.36,1.17211,0.61444,0.99101,0.76687,0.68932,0.76283,0.48743,1.60734,0.92456,1.20488,0.000123596,0.000123596,0.000123596
119,1974.29,1.15999,0.61578,0.99263,0.77921,0.68516,0.76626,0.48597,1.62314,0.92072,1.20683,0.000117072,0.000117072,0.000117072
120,1991.14,1.18115,0.62789,1.00365,0.74469,0.71199,0.76749,0.48465,1.60294,0.89891,1.20434,0.000110718,0.000110718,0.000110718
121,2007.42,1.15236,0.60759,0.98904,0.76735,0.68655,0.76242,0.48533,1.61322,0.91098,1.19411,0.000104537,0.000104537,0.000104537
122,2023.86,1.19505,0.62197,0.9931,0.77959,0.6917,0.77487,0.48593,1.59764,0.89784,1.19316,9.85311e-05,9.85311e-05,9.85311e-05
123,2040,1.13041,0.59438,0.97932,0.74048,0.72816,0.77257,0.48695,1.61292,0.91504,1.19465,9.2704e-05,9.2704e-05,9.2704e-05
124,2056.4,1.15079,0.60998,0.98904,0.76567,0.71151,0.77722,0.48946,1.60553,0.90006,1.19616,8.70577e-05,8.70577e-05,8.70577e-05
125,2072.7,1.16122,0.62058,0.99133,0.78871,0.68655,0.77291,0.48975,1.5991,0.90402,1.19658,8.15947e-05,8.15947e-05,8.15947e-05
126,2088.86,1.15364,0.60697,0.99214,0.81699,0.6625,0.77034,0.48556,1.60122,0.89378,1.19799,7.63174e-05,7.63174e-05,7.63174e-05
127,2105.05,1.12166,0.60048,0.98953,0.78777,0.67822,0.77432,0.48734,1.58623,0.88106,1.19323,7.12282e-05,7.12282e-05,7.12282e-05
128,2121.32,1.14713,0.60678,0.99109,0.76739,0.69626,0.77426,0.48534,1.6094,0.88408,1.19868,6.63292e-05,6.63292e-05,6.63292e-05
129,2137.31,1.15161,0.60779,0.99988,0.74928,0.72538,0.77259,0.48554,1.60162,0.89604,1.19732,6.16227e-05,6.16227e-05,6.16227e-05
130,2154.39,1.17252,0.61815,1.00507,0.78112,0.69348,0.76668,0.48355,1.60069,0.89896,1.20178,5.71106e-05,5.71106e-05,5.71106e-05
131,2170.65,1.12819,0.60414,0.98686,0.77739,0.69263,0.76498,0.48253,1.60627,0.90481,1.20021,5.2795e-05,5.2795e-05,5.2795e-05
132,2187.4,1.14237,0.60387,0.98603,0.74496,0.71706,0.76774,0.48793,1.57618,0.89747,1.19245,4.86777e-05,4.86777e-05,4.86777e-05
133,2203.91,1.13202,0.60302,0.98969,0.73833,0.72399,0.76979,0.48664,1.59128,0.89853,1.19075,4.47606e-05,4.47606e-05,4.47606e-05
134,2220.06,1.10834,0.59535,0.98236,0.7566,0.71429,0.77089,0.48706,1.59987,0.90185,1.19432,4.10454e-05,4.10454e-05,4.10454e-05
135,2236.33,1.13215,0.58882,0.9778,0.77716,0.69903,0.77148,0.49059,1.59432,0.89916,1.19458,3.75337e-05,3.75337e-05,3.75337e-05
136,2253.76,1.22335,0.62241,1.01696,0.77552,0.69479,0.76593,0.47798,1.6139,0.90234,1.2104,3.4227e-05,3.4227e-05,3.4227e-05
137,2269.5,1.20928,0.61208,1.01804,0.75449,0.71606,0.76355,0.47242,1.62974,0.90712,1.22129,3.11268e-05,3.11268e-05,3.11268e-05
